Rows,Variety,TimeNoIndex,TimeWithIndex,Speedup
10,10,0.000001065,0.000001364,0.78
20,10,0.000002092,0.000001738,1.20
30,10,0.000003016,0.000001677,1.80
40,10,0.000003970,0.000001718,2.31
50,10,0.000004884,0.000002278,2.14
60,10,0.000005515,0.000002101,2.63
70,10,0.000006532,0.000002297,2.84
80,10,0.000007665,0.000002442,3.14
90,10,0.000008122,0.000001536,5.29
100,10,0.000006809,0.000001401,4.86
200,10,0.000013515,0.000001857,7.28
300,10,0.000020740,0.000004317,4.80
400,10,0.000027058,0.000002861,9.46
500,10,0.000032451,0.000003163,10.26
600,10,0.000050158,0.000005890,8.52
700,10,0.000056933,0.000007284,7.82
800,10,0.000062422,0.000006000,10.40
900,10,0.000068362,0.000006429,10.63
1000,10,0.000073895,0.000006657,11.10
2000,10,0.000160535,0.000013754,11.67
3000,10,0.000219618,0.000017188,12.78
4000,10,0.000278413,0.000022983,12.11
5000,10,0.000367510,0.000018931,19.41
6000,10,0.000435180,0.000034593,12.58
7000,10,0.000491847,0.000034909,14.09
8000,10,0.000439811,0.000028761,15.29
9000,10,0.000637099,0.000047131,13.52
10000,10,0.000712230,0.000052029,13.69
10,100,0.000000925,0.000000786,1.18
20,100,0.000001407,0.000000852,1.65
30,100,0.000002026,0.000000768,2.64
40,100,0.000002903,0.000001069,2.72
50,100,0.000003332,0.000001117,2.98
60,100,0.000004475,0.000001107,4.04
70,100,0.000005143,0.000001344,3.83
80,100,0.000005611,0.000001120,5.01
90,100,0.000006247,0.000001239,5.04
100,100,0.000007130,0.000001212,5.88
200,100,0.000013674,0.000001429,9.57
300,100,0.000021675,0.000001764,12.28
400,100,0.000029049,0.000001825,15.91
500,100,0.000035140,0.000002054,17.11
600,100,0.000038757,0.000001816,21.35
700,100,0.000048379,0.000002118,22.84
800,100,0.000054323,0.000001879,28.90
900,100,0.000062029,0.000002760,22.47
1000,100,0.000067118,0.000002529,26.54
2000,100,0.000138947,0.000003105,44.75
3000,100,0.000216982,0.000004948,43.85
4000,100,0.000139065,0.000005366,25.91
5000,100,0.000342983,0.000005596,61.29
6000,100,0.000410319,0.000005464,75.09
7000,100,0.000463311,0.000006733,68.82
8000,100,0.000540836,0.000006892,78.47
9000,100,0.000635470,0.000008551,74.31
10000,100,0.000710755,0.000008585,82.79
10,1000,0.000000803,0.000000932,0.86
20,1000,0.000001449,0.000000937,1.55
30,1000,0.000002073,0.000000843,2.46
40,1000,0.000002688,0.000000997,2.70
50,1000,0.000003352,0.000000957,3.50
60,1000,0.000004215,0.000001055,4.00
70,1000,0.000004806,0.000000968,4.96
80,1000,0.000005755,0.000001020,5.64
90,1000,0.000005811,0.000001102,5.27
100,1000,0.000006323,0.000001003,6.30
200,1000,0.000013970,0.000001336,10.46
300,1000,0.000022105,0.000001305,16.94
400,1000,0.000027843,0.000001269,21.94
500,1000,0.000035201,0.000001655,21.27
600,1000,0.000043061,0.000001406,30.62
700,1000,0.000047108,0.000001752,26.89
800,1000,0.000054154,0.000001283,42.20
900,1000,0.000061142,0.000001559,39.21
1000,1000,0.000068866,0.000001437,47.94
2000,1000,0.000136510,0.000002016,67.70
3000,1000,0.000203667,0.000002126,95.82
4000,1000,0.000266822,0.000002085,128.00
5000,1000,0.000338621,0.000002233,151.66
6000,1000,0.000409495,0.000002232,183.50
7000,1000,0.000484211,0.000002926,165.51
8000,1000,0.000578412,0.000002664,217.13
9000,1000,0.000631543,0.000007131,88.56
10000,1000,0.000666876,0.000002090,319.14
